2025-08-21 10:31:51.238 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 10:33:09.366 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 10:33:09.366 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 10:46:00.146 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 10:46:00.146 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 11:14:14.645 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 11:14:14.645 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 11:17:56.131 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 11:17:56.131 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 14:57:07.089 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 14:57:07.089 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 15:16:25.882 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 15:16:25.883 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 15:20:48.146 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 15:20:48.147 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findRandomByAdType] is ignored, because it exists, maybe from xml file
2025-08-21 15:31:10.602 [main] ERROR c.baomidou.mybatisplus.core.MybatisConfiguration - mapper[com.gig.collide.mapper.AdMapper.findByAdType] is ignored, because it exists, maybe from xml file
